Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_17_Type_of_research:_Experimental,Published_Industry,13_Other services,2023,486,R,NZ Dollars (millions),4 and 12 and 26 and 28,30.8,Published_Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Sector,01_Business Sector,2023,307,R,NZ Dollars (millions),1 and 12 and 28,27.4,Sector
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,Industry,03_Services Industry Group,2022,11000,R,Number of employees,14 and 28,8.8,Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Published_Industry,01_Primary,2023,59,R,NZ Dollars (millions),12 and 15 and 28,89.6,Published_Industry
_13_Broad_purpose_of_research:_Society,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,63,R,NZ Dollars (millions),12 and 15 and 19 and 28,19.7,ANZSIC_1_Digit
_25_Personnel_by_Occupation:_FTE:_Total,Industry,03_Services Industry Group,2022,14000,R,Number of employees,14 and 28,7.9,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,09_Other manufacturing,2023,24,R,NZ Dollars (millions),12 and 28,18.3,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Published_Industry,02_Food_Manufacturing,2023,69,R,NZ Dollars (millions),12 and 15 and 17 and 28,21.1,Published_Industry
_12b_Purpose_of_research:_Manufacturing,Published_Industry,08_Machinery and equipment manufacturing,2022,143,R,NZ Dollars (millions),12 and 15 and 28,16,Published_Industry
_21_Personnel_by_Occupation:_Headcount:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,6900,R,Number of employees,14 and 28,7.3,ANZSIC_1_Digit
_23_Personnel_by_Occupation:_FTE:_Technician,Published_Industry,12_Computer services,2022,2800,R,Number of employees,14 and 28,16.2,Published_Industry
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,Published_Industry,02_Food_Manufacturing,2023,490,R,Number of employees,14 and 28,16.9,Published_Industry
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,Industry,02_Manufacturing Industry Group,2023,700,R,Number of employees,14 and 28,10.4,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,13_Other services,2022,526,R,NZ Dollars (millions),4 and 12 and 28,18.4,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Size,05_50 to 99 employees,2022,212,R,NZ Dollars (millions),5 and 12 and 15 and 18 and 28,21.7,Size
_16_Type_of_research:_Applied,Industry,02_Manufacturing Industry Group,2022,292,R,NZ Dollars (millions),12 and 25 and 28,6.9,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,08_Machinery and equipment manufacturing,2022,305,R,NZ Dollars (millions),12 and 28,8.4,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Industry,02_Manufacturing Industry Group,2022,151,R,NZ Dollars (millions),12 and 15 and 17 and 28,17.4,Industry
_18_Personnel_by_Occupation:_Headcount:_Researcher_Total,Published_Industry,12_Computer services,2023,5500,R,Number of employees,14 and 28,11.6,Published_Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Industry,03_Services Industry Group,2023,777,R,NZ Dollars (millions),12 and 28,12,Industry
_12b_Purpose_of_research:_Manufacturing,Industry,03_Services Industry Group,2022,230,R,NZ Dollars (millions),12 and 15 and 28,17.9,Industry
_12cii_Purpose_of_research:_Transport,Size,06_100 or more employees,2022,97,R,NZ Dollars (millions),5 and 12 and 15 and 28,13.4,Size
_17_Type_of_research:_Experimental,Total,Total,2022,2060,R,NZ Dollars (millions),12 and 26 and 28,6.5,Total
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Industry,03_Services Industry Group,2023,1519,R,NZ Dollars (millions),12 and 28,9.5,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,13_Other services,2023,697,R,NZ Dollars (millions),4 and 12 and 28,23.4,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,02_Food_Manufacturing,2022,79,R,NZ Dollars (millions),12 and 15 and 18 and 28,11,Published_Industry
_17_Type_of_research:_Experimental,Size,05_50 to 99 employees,2022,205,R,NZ Dollars (millions),5 and 12 and 26 and 28,22.3,Size
_31_Personnel_by_Qualification:_Headcount:_Total,Published_Industry,12_Computer services,2022,9000,R,Number of employees,14 and 28,11.2,Published_Industry
_12ci_Purpose_of_research:_Construction,Sector,01_Business Sector,2022,149,R,NZ Dollars (millions),1 and 12 and 15 and 28,13.2,Sector
_12d_Purpose_of_research:_Information_and_communication_services,Sector,01_Business Sector,2023,663,R,NZ Dollars (millions),1 and 12 and 15 and 28,22,Sector
_16_Type_of_research:_Applied,Industry,03_Services Industry Group,2023,955,R,NZ Dollars (millions),12 and 25 and 28,10.5,Industry
