Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,Industry,03_Services Industry Group,2022,17000,R,Number of employees,14 and 28,8.1,Industry
_25_Personnel_by_Occupation:_FTE:_Total,Published_Industry,12_Computer services,2022,7100,R,Number of employees,14 and 28,12.3,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,09_Other manufacturing,2023,21,R,NZ Dollars (millions),12 and 15 and 18 and 28,21.9,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,12_Computer services,2023,829,R,NZ Dollars (millions),12 and 15 and 18 and 28,13.8,Published_Industry
_12b_Purpose_of_research:_Manufacturing,Published_Industry,12_Computer services,2023,63,R,NZ Dollars (millions),12 and 15 and 28,28.9,Published_Industry
_23_Personnel_by_Occupation:_FTE:_Technician,Published_Industry,02_Food_Manufacturing,2022,240,R,Number of employees,14 and 28,21.3,Published_Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,12_Computer services,2022,208,R,NZ Dollars (millions),12 and 28,14.4,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,02_Food_Manufacturing,2023,142,R,NZ Dollars (millions),12 and 28,12.5,Published_Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Industry,02_Manufacturing Industry Group,2022,108,R,NZ Dollars (millions),12 and 15 and 28,20.4,Industry
_52_Funding_of_RD_undertaken_externally_by_the:_Government_Sector:_Total,Industry,03_Services Industry Group,2022,28,R,NZ Dollars (millions),7 and 9 and 28,41.3,Industry
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2022,875,R,NZ Dollars (millions),12,5.8,Industry
_01_Total_RD_Expenditure,Size,06_100 or more employees,2022,3834,R,NZ Dollars (millions),5 and 12,2.9,Size
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,Industry,02_Manufacturing Industry Group,2023,36,R,NZ Dollars (millions),12 and 28,20.4,Industry
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2022,50,R,NZ Dollars (millions),12 and 15 and 16 and 28,17.2,Published_Industry
_20_Personnel_by_Occupation:_Headcount:_Other_supporting_staff,Published_Industry,02_Food_Manufacturing,2022,250,R,Number of employees,14 and 28,35,Published_Industry
_12b_Purpose_of_research:_Manufacturing,ANZSIC_1_Digit,C_Manufacturing,2022,325,R,NZ Dollars (millions),12 and 15 and 28,8.3,ANZSIC_1_Digit
_11_Broad_purpose_of_research:_Primary_Industries,ANZSIC_1_Digit,C_Manufacturing,2022,151,R,NZ Dollars (millions),12 and 15 and 17 and 28,17.4,ANZSIC_1_Digit
_29_Personnel_by_Qualification:_Headcount:_Technical_and_trade_qualifications,Published_Industry,02_Food_Manufacturing,2022,70,R,Number of employees,14 and 28,22.9,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,08_Machinery and equipment manufacturing,2022,276,R,NZ Dollars (millions),12 and 15 and 18 and 28,10.1,Published_Industry
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Industry,02_Manufacturing Industry Group,2023,4300,R,Number of employees,14 and 28,7,Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Industry,03_Services Industry Group,2022,22000,R,Number of employees,14 and 28,7.4,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Industry,03_Services Industry Group,2023,1896,R,NZ Dollars (millions),12 and 28,11.1,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,10_Wholesale trade,2022,108,R,NZ Dollars (millions),12 and 28,13.6,Published_Industry
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Sector,01_Business Sector,2023,17000,R,Number of employees,1 and 14 and 28,5.9,Sector
_19_Personnel_by_Occupation:_Headcount:_Technician,Industry,03_Services Industry Group,2022,7900,R,Number of employees,14 and 28,11.7,Industry
_14_Broad_purpose_of_research:_Other,Size,06_100 or more employees,2022,795,R,NZ Dollars (millions),5 and 12 and 15 and 20 and 28,3.5,Size
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Industry,03_Services Industry Group,2022,184,R,NZ Dollars (millions),12 and 21 and 28,14.3,Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,168,R,NZ Dollars (millions),12 and 15 and 28,11.5,ANZSIC_1_Digit
_12c_Purpose_of_research:_Construction_and_transport:_Total,Published_Industry,08_Machinery and equipment manufacturing,2023,91,R,NZ Dollars (millions),12 and 15 and 28,19.6,Published_Industry
_16_Type_of_research:_Applied,ANZSIC_1_Digit,C_Manufacturing,2022,292,R,NZ Dollars (millions),12 and 25 and 28,6.9,ANZSIC_1_Digit
_22_Personnel_by_Occupation:_FTE:_Researcher_Total,Sector,01_Business Sector,2023,13000,R,Number of employees,1 and 14 and 28,6.6,Sector
_31_Personnel_by_Qualification:_Headcount:_Total,Published_Industry,02_Food_Manufacturing,2022,1000,R,Number of employees,14 and 28,11.7,Published_Industry
_16_Type_of_research:_Applied,Published_Industry,12_Computer services,2023,446,R,NZ Dollars (millions),12 and 25 and 28,14.6,Published_Industry
_15_Type_of_research:_Basic:_Total,Published_Industry,10_Wholesale trade,2023,17,R,NZ Dollars (millions),12 and 22 and 28,23.5,Published_Industry
_53_Funding_of_RD_undertaken_externally_by_the:_Tertiary_Sector,Industry,02_Manufacturing Industry Group,2022,7,R,NZ Dollars (millions),7 and 9 and 28,25.7,Industry
_10_Source_of_Funds:_Other_funding_sources,Published_Industry,13_Other services,2023,23,R,NZ Dollars (millions),4 and 12 and 28,24.1,Published_Industry
_14_Broad_purpose_of_research:_Other,ANZSIC_1_Digit,F_Wholesale Trade,2022,33,R,NZ Dollars (millions),12 and 15 and 20 and 28,19.3,ANZSIC_1_Digit
_11a_Purpose_of_research:_Primary:_Total,Industry,03_Services Industry Group,2023,268,R,NZ Dollars (millions),12 and 15 and 28,19.2,Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Industry,02_Manufacturing Industry Group,2023,107,R,NZ Dollars (millions),12 and 15 and 28,15.8,Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Published_Industry,02_Food_Manufacturing,2023,990,R,Number of employees,14 and 28,13.1,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Industry,02_Manufacturing Industry Group,2022,38,R,NZ Dollars (millions),7 and 9,30.2,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Size,05_50 to 99 employees,2022,236,R,NZ Dollars (millions),5 and 12 and 28,17.8,Size
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Published_Industry,02_Food_Manufacturing,2022,8,R,NZ Dollars (millions),12 and 28,22.3,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Total,Total,2022,2365,R,NZ Dollars (millions),12 and 15 and 18 and 28,6.4,Total
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2023,640,R,NZ Dollars (millions),12,8.1,Published_Industry
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,Industry,02_Manufacturing Industry Group,2022,660,R,Number of employees,14 and 28,9.9,Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Published_Industry,02_Food_Manufacturing,2022,65,R,NZ Dollars (millions),12 and 15 and 28,18.9,Published_Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,Industry,03_Services Industry Group,2023,230,R,NZ Dollars (millions),12 and 15 and 28,15.2,Industry
_14b_Purpose_of_research:_Environment,Sector,01_Business Sector,2022,84,R,NZ Dollars (millions),1 and 12 and 15 and 28,18.1,Sector
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2023,44,R,NZ Dollars (millions),12 and 15 and 16 and 28,58.6,Published_Industry
_13a_Purpose_of_research:_Health,Industry,03_Services Industry Group,2023,246,R,NZ Dollars (millions),12 and 15 and 28,25.8,Industry
_17_Type_of_research:_Experimental,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,883,R,NZ Dollars (millions),12 and 26 and 28,10,ANZSIC_1_Digit
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,02_Food_Manufacturing,2022,83,R,NZ Dollars (millions),12 and 28,11.8,Published_Industry
_09_Source_of_Funds:_Overseas,Sector,01_Business Sector,2022,375,R,NZ Dollars (millions),1 and 12 and 28,17.6,Sector
_11a_Purpose_of_research:_Primary:_Total,Published_Industry,02_Food_Manufacturing,2022,68,R,NZ Dollars (millions),12 and 15 and 28,18.1,Published_Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Size,06_100 or more employees,2022,258,R,NZ Dollars (millions),5 and 12 and 15 and 28,7.3,Size
_13_Broad_purpose_of_research:_Society,Sector,01_Business Sector,2022,492,R,NZ Dollars (millions),1 and 12 and 15 and 19 and 28,12.9,Sector
_12e_Purpose_of_research:_Commercial_services_and_tourism,Industry,03_Services Industry Group,2022,339,R,NZ Dollars (millions),12 and 15 and 28,16,Industry
_18_Personnel_by_Occupation:_Headcount:_Researcher_Total,Published_Industry,10_Wholesale trade,2023,890,R,Number of employees,14 and 28,9.5,Published_Industry
_36_Personnel_by_Qualification:_FTE:_Other_qualifications,Industry,02_Manufacturing Industry Group,2022,610,R,Number of employees,14 and 28,9.4,Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Industry,03_Services Industry Group,2022,617,R,NZ Dollars (millions),12 and 28,9.4,Industry
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,Sector,01_Business Sector,2022,247,R,NZ Dollars (millions),1 and 12 and 28,12,Sector
_09_Source_of_Funds:_Overseas,Published_Industry,11_Scientific research and technical services,2022,75,R,NZ Dollars (millions),12 and 28,18.5,Published_Industry
_21_Personnel_by_Occupation:_Headcount:_Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,18000,R,Number of employees,14 and 28,6.4,ANZSIC_1_Digit
_21_Personnel_by_Occupation:_Headcount:_Total,Published_Industry,12_Computer services,2023,8500,R,Number of employees,14 and 28,10.4,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2022,481,R,NZ Dollars (millions),12 and 28,6,ANZSIC_1_Digit
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2022,45,R,NZ Dollars (millions),12 and 28,38.7,ANZSIC_1_Digit
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,ANZSIC_1_Digit,C_Manufacturing,2022,306,R,NZ Dollars (millions),12 and 28,8.2,ANZSIC_1_Digit
_12c_Purpose_of_research:_Construction_and_transport:_Total,Industry,03_Services Industry Group,2022,204,R,NZ Dollars (millions),12 and 15 and 28,12.6,Industry
_14_Broad_purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2022,65,R,NZ Dollars (millions),12 and 15 and 20 and 28,16.3,Published_Industry
_16_Type_of_research:_Applied,Total,Total,2022,1980,R,NZ Dollars (millions),12 and 25 and 28,4.1,Total
_25_Personnel_by_Occupation:_FTE:_Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,13000,R,Number of employees,14 and 28,7.1,ANZSIC_1_Digit
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,08_Machinery and equipment manufacturing,2023,481,R,NZ Dollars (millions),12 and 28,9.2,Published_Industry
_11a_Purpose_of_research:_Primary:_Total,Published_Industry,13_Other services,2023,97,R,NZ Dollars (millions),4 and 12 and 15 and 28,18.4,Published_Industry
_12e_Purpose_of_research:_Commercial_services_and_tourism,Published_Industry,12_Computer services,2023,282,R,NZ Dollars (millions),12 and 15 and 28,18.6,Published_Industry
_19_Personnel_by_Occupation:_Headcount:_Technician,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,7000,R,Number of employees,14 and 28,10.9,ANZSIC_1_Digit
_06_Source_of_Funds:_New_Zealand_Private_sector,ANZSIC_1_Digit,C_Manufacturing,2022,788,R,NZ Dollars (millions),12 and 28,5.7,ANZSIC_1_Digit
_12cii_Purpose_of_research:_Transport,Industry,02_Manufacturing Industry Group,2023,79,R,NZ Dollars (millions),12 and 15 and 28,18.8,Industry
_23_Personnel_by_Occupation:_FTE:_Technician,Total,Total,2022,8300,R,Number of employees,14 and 28,6.8,Total
_54_Funding_of_RD_undertaken_externally_by_the:_Overseas_Sector,Industry,02_Manufacturing Industry Group,2022,9,R,NZ Dollars (millions),7 and 9 and 28,54.6,Industry
_18_Personnel_by_Occupation:_Headcount:_Researcher_Total,Industry,02_Manufacturing Industry Group,2023,4300,R,Number of employees,14 and 28,7,Industry
_54_Funding_of_RD_undertaken_externally_by_the:_Overseas_Sector,Industry,03_Services Industry Group,2022,212,R,NZ Dollars (millions),7 and 9 and 28,35.2,Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,08_Machinery and equipment manufacturing,2023,327,R,NZ Dollars (millions),12 and 15 and 18 and 28,9.6,Published_Industry
_01_Total_RD_Expenditure,Sector,01_Business Sector,2023,3721,R,NZ Dollars (millions),1 and 12,6.5,Sector
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,07_Metal product manufacturing,2022,45,R,NZ Dollars (millions),12 and 28,16.5,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,08_Machinery and equipment manufacturing,2023,592,R,NZ Dollars (millions),12 and 28,8.5,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Published_Industry,13_Other services,2023,97,R,NZ Dollars (millions),4 and 12 and 15 and 17 and 28,18.4,Published_Industry
_18_Personnel_by_Occupation:_Headcount:_Researcher_Total,Published_Industry,02_Food_Manufacturing,2022,500,R,Number of employees,14 and 28,10.7,Published_Industry
_31_Personnel_by_Qualification:_Headcount:_Total,Published_Industry,02_Food_Manufacturing,2023,980,R,Number of employees,14 and 28,13.2,Published_Industry
_32_Personnel_by_Qualification:_FTE:_PhD,ANZSIC_1_Digit,C_Manufacturing,2022,340,R,Number of employees,14 and 28,11.7,ANZSIC_1_Digit
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Industry,03_Services Industry Group,2023,1571,R,NZ Dollars (millions),12 and 15 and 18 and 28,12.4,Industry
_37_Personnel_by_Qualification:_FTE:_Total,Industry,02_Manufacturing Industry Group,2022,4800,R,Number of employees,14 and 28,5.9,Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Published_Industry,12_Computer services,2022,194,R,NZ Dollars (millions),7 and 9,42.5,Published_Industry
_16_Type_of_research:_Applied,Size,05_50 to 99 employees,2022,112,R,NZ Dollars (millions),5 and 12 and 25 and 28,28.5,Size
_17_Type_of_research:_Experimental,Sector,01_Business Sector,2022,1728,R,NZ Dollars (millions),1 and 12 and 26 and 28,7.8,Sector
_06_Source_of_Funds:_New_Zealand_Private_sector,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,1217,R,NZ Dollars (millions),12 and 28,9.4,ANZSIC_1_Digit
_11a_Purpose_of_research:_Primary:_Total,Industry,02_Manufacturing Industry Group,2023,154,R,NZ Dollars (millions),12 and 15 and 28,13.6,Industry
_13a_Purpose_of_research:_Health,Sector,01_Business Sector,2022,384,R,NZ Dollars (millions),1 and 12 and 15 and 28,13.1,Sector
_29_Personnel_by_Qualification:_Headcount:_Technical_and_trade_qualifications,Published_Industry,02_Food_Manufacturing,2023,75,R,Number of employees,14 and 28,30.3,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Industry,03_Services Industry Group,2023,367,R,NZ Dollars (millions),7 and 9,77.5,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2022,108,R,NZ Dollars (millions),12 and 28,13.6,ANZSIC_1_Digit
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Total,Total,2022,3023,R,NZ Dollars (millions),12 and 28,4.1,Total
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,08_Machinery and equipment manufacturing,2022,164,R,NZ Dollars (millions),12 and 28,12.6,Published_Industry
_19_Personnel_by_Occupation:_Headcount:_Technician,Published_Industry,02_Food_Manufacturing,2023,270,R,Number of employees,14 and 28,16.4,Published_Industry
_37_Personnel_by_Qualification:_FTE:_Total,Industry,02_Manufacturing Industry Group,2023,5500,R,Number of employees,14 and 28,6.2,Industry
_12a_Purpose_of_research:_Energy,Total,Total,2022,201,R,NZ Dollars (millions),12 and 15 and 28,25.4,Total
_09_Source_of_Funds:_Overseas,Published_Industry,12_Computer services,2023,218,R,NZ Dollars (millions),12 and 28,25.4,Published_Industry
_24_Personnel_by_Occupation:_FTE:_Other_supporting_staff,Industry,02_Manufacturing Industry Group,2023,570,R,Number of employees,14 and 28,11.2,Industry
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,9300,R,Number of employees,14 and 28,8.6,ANZSIC_1_Digit
_37_Personnel_by_Qualification:_FTE:_Total,Published_Industry,02_Food_Manufacturing,2023,730,R,Number of employees,14 and 28,14.3,Published_Industry
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Sector,01_Business Sector,2022,238,R,NZ Dollars (millions),1 and 12 and 28,18.6,Sector
_06_Source_of_Funds:_New_Zealand_Private_sector,Sector,01_Business Sector,2023,2937,R,NZ Dollars (millions),1 and 12 and 28,7.5,Sector
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Industry,03_Services Industry Group,2023,154,R,NZ Dollars (millions),12 and 21 and 28,12.7,Industry
_24_Personnel_by_Occupation:_FTE:_Other_supporting_staff,Published_Industry,02_Food_Manufacturing,2022,100,R,Number of employees,14 and 28,27.8,Published_Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2023,232,R,NZ Dollars (millions),12 and 28,35.9,Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2022,73,R,NZ Dollars (millions),12 and 28,8.8,Industry
_17_Type_of_research:_Experimental,Size,06_100 or more employees,2022,1216,R,NZ Dollars (millions),5 and 12 and 26 and 28,7.4,Size
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,02_Food_Manufacturing,2023,81,R,NZ Dollars (millions),12 and 15 and 18 and 28,14.8,Published_Industry
_12b_Purpose_of_research:_Manufacturing,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,205,R,NZ Dollars (millions),12 and 15 and 28,14.5,ANZSIC_1_Digit
_12d_Purpose_of_research:_Information_and_communication_services,Published_Industry,13_Other services,2023,224,R,NZ Dollars (millions),4 and 12 and 15 and 28,46,Published_Industry
_22a_Personnel_by_Occupation:_FTE:_Researcher_Employees,Published_Industry,02_Food_Manufacturing,2022,420,R,Number of employees,14 and 28,11.7,Published_Industry
_16_Type_of_research:_Applied,Size,06_100 or more employees,2022,1443,R,NZ Dollars (millions),5 and 12 and 25 and 28,3.7,Size
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Industry,02_Manufacturing Industry Group,2023,664,R,NZ Dollars (millions),12 and 28,7,Industry
_11a_Purpose_of_research:_Primary:_Total,Sector,01_Business Sector,2022,416,R,NZ Dollars (millions),1 and 12 and 15 and 28,14.1,Sector
_25_Personnel_by_Occupation:_FTE:_Total,Published_Industry,02_Food_Manufacturing,2023,730,R,Number of employees,14 and 28,14.3,Published_Industry
_37_Personnel_by_Qualification:_FTE:_Total,Published_Industry,12_Computer services,2022,7100,R,Number of employees,14 and 28,12.3,Published_Industry
_10_Source_of_Funds:_Other_funding_sources,Industry,03_Services Industry Group,2022,39,R,NZ Dollars (millions),12 and 28,17.3,Industry
_11a_Purpose_of_research:_Primary:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,151,R,NZ Dollars (millions),12 and 15 and 28,17.4,ANZSIC_1_Digit
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,10_Wholesale trade,2022,102,R,NZ Dollars (millions),12 and 15 and 18 and 28,13.2,Published_Industry
_17_Type_of_research:_Experimental,Published_Industry,08_Machinery and equipment manufacturing,2022,313,R,NZ Dollars (millions),12 and 26 and 28,10.9,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,11_Scientific research and technical services,2023,153,R,NZ Dollars (millions),12 and 15 and 18 and 28,24.2,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,11_Scientific research and technical services,2023,221,R,NZ Dollars (millions),12 and 28,12,Published_Industry
_23_Personnel_by_Occupation:_FTE:_Technician,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,4600,R,Number of employees,14 and 28,10.4,ANZSIC_1_Digit
_01_Total_RD_Expenditure,Total,Total,2022,5336,R,NZ Dollars (millions),12,3.3,Total
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,117,R,NZ Dollars (millions),12 and 28,15.5,ANZSIC_1_Digit
_53_Funding_of_RD_undertaken_externally_by_the:_Tertiary_Sector,Sector,01_Business Sector,2023,33,R,NZ Dollars (millions),1 and 7 and 9 and 28,80.6,Sector
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2022,875,R,NZ Dollars (millions),12,5.8,ANZSIC_1_Digit
_12d_Purpose_of_research:_Information_and_communication_services,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,409,R,NZ Dollars (millions),12 and 15 and 28,23.8,ANZSIC_1_Digit
_17_Type_of_research:_Experimental,Industry,02_Manufacturing Industry Group,2022,485,R,NZ Dollars (millions),12 and 26 and 28,8,Industry
_10_Source_of_Funds:_Other_funding_sources,Total,Total,2022,200,R,NZ Dollars (millions),12 and 28,3.8,Total
_14c_Purpose_of_research:_Other,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,123,R,NZ Dollars (millions),12 and 15 and 16 and 28,24.4,ANZSIC_1_Digit
_25_Personnel_by_Occupation:_FTE:_Total,Published_Industry,12_Computer services,2023,7000,R,Number of employees,14 and 28,12,Published_Industry
